2026-09-18T20:58:39 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-18T22:45:32 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:33 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.05
2026-09-18T22:45:33 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:33 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.05
2026-09-18T22:45:33 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:34 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.23
2026-09-18T22:45:34 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:34 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.23
2026-09-18T22:45:34 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:35 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.37
2026-09-18T22:45:35 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:35 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.37
2026-09-18T22:45:35 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:35 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.46
2026-09-18T22:45:35 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:35 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.46
2026-09-18T22:45:35 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:36 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.53
2026-09-18T22:45:36 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:36 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.53
2026-09-18T22:45:36 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:36 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.62
2026-09-18T22:45:36 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:36 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.62
2026-09-18T22:45:36 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:38 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.88
2026-09-18T22:45:38 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:38 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.88
2026-09-18T22:45:38 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:40 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.30
2026-09-18T22:45:40 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:41 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.40
2026-09-18T22:45:41 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:41 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.40
2026-09-18T22:45:41 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:42 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.58
2026-09-18T22:45:42 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:42 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.58
2026-09-18T22:45:42 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-19T10:47:43 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T10:50:13 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T10:53:16 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T10:56:33 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T10:59:57 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T11:01:50 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T11:03:28 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T11:12:30 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T11:16:33 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T11:18:17 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T11:21:36 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-19T11:40:01 | SECURITY | v_ai.a0.server | WARNING | Không thể ghi log sự kiện A2A: FOREIGN KEY constraint failed
2026-09-19T12:03:23 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
